id,user,fecha,tweet,noticia,pais,miedo,ira,expectante,confianza,sorpresa,tristeza,repulsion,alegria,depresion,positivo,negativo,emociones,polaridad,palabra,emocion,puntuacion,emocion2
27,Reforma Internacional,2020-05-09 15:30:16,"La red 5G, arma biológica, plan de las farmacéuticas... las teorías conspirativas sobre el Covid-19 abundan.

Esto, apuntan psicólogos, se debe a la ansiedad de enfrentarse a algo desconocido.
http://ow.ly/DFqT50zr6aO",Crisis Guayaquil,Mexico,2,1,4,0,0,1,0,0,0,0,2,['expectante'],negativo,ansiedad,miedo,0.594,miedo
28,Ministerio de Salud de Costa Rica,2020-05-09 15:30:00,"Estrategias para proteger la salud mental de adolescentes ante el COVID-19:
Es normal sentir ansiedad por todo esto que vivimos mundialmente y que nos afecta, de una u otra manera, a todos.",Crisis Guayaquil,Costa Rica,1,1,1,0,0,1,0,0,1,2,2,"['miedo', 'ira', 'expectante', 'tristeza', 'depresion']",neutro,ansiedad,expectante,0.609,expectante
35,D A M A R I S,2020-05-09 13:12:07,"Notarán que casi no escribo de eso  (COVID-19). No me gusta, no quiero causarme ni causarles más ansiedad. Solo puedo decir que “tenemos el privilegio de quedarnos en casa” con internet y comida; muchos mexicanos no lo tienen y ojalá estos 5 días pico de contagio no les pase nada",Crisis Guayaquil,Mexico,2,1,2,1,0,2,1,1,1,2,3,"['miedo', 'expectante', 'tristeza']",negativo,contagio,repulsion,0.719,repulsion
39,Adrian Pero me Dicen Roni,2020-05-09 12:34:16,"DEPORTE.
Bienestar físico y mental.
Baja la presión arterial, disminuye coágulos. Previene infartos. Mantiene el peso previene obesidad.
Controla problemas bronquiales.
Maneja la ansiedad.
.
Todos factores de riesgo para quienes DIOS no quiera, se contagian COVID",Crisis Guayaquil,Argentina,3,1,3,1,1,3,2,1,0,2,5,"['miedo', 'expectante', 'tristeza']",negativo,obesidad,repulsion,0.695,repulsion
40,Elevart,2020-05-09 12:32:56,"Libros de Psicología y arte que acompañan https://elevart.org/psicologia-y-arte-libros-que-acompanan/…
Lecturas sobre psicología y bienestar con arte.

#elevart #psicología #respiración #aislamiento #estrés #libros #ansiedad #cuarentena #covid",Crisis Guayaquil,España,2,1,1,0,0,2,0,0,0,2,3,"['miedo', 'tristeza']",negativo,aislamiento,tristeza,0.703,tristeza
45,MENADEL PSICOLOGÍA (Frasco Martín),2020-05-09 07:27:04,"""Los jóvenes sienten más ansiedad y depresión por el COVID-19 que los grupos de riesgo"" https://ift.tt/3cgBtRj #Menadel #Psicología

Los jóvenes de entre 18 y 24 años son el grupo de edad que presenta más síntomas relacionados con ansiedad (34.6%) y depresión (42.9%) durante e…",Crisis Guayaquil,España,4,2,3,0,0,4,0,0,0,0,5,"['miedo', 'tristeza']",negativo,depresión,tristeza,0.925,tristeza
48,Podio.Mx®,2020-05-09 06:35:50,"Estrés, ansiedad y covid-19, ¿sirve de algo nuestra alimentación? http://podio.mx/estres-ansiedad-y-covid-19-sirve-de-algo-nuestra-alimentacion/…",Crisis Guayaquil,Mexico,1,1,1,0,0,1,0,0,0,0,1,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
50,Madres Cabreadas,2020-05-09 06:14:31,"Un estudio de 
@SaveChildrenEs
 alerta de que 1 de cada 4 niños sufre ansiedad por el aislamiento https://lavanguardia.com/vida/20200508/481018618119/ninos-ansiedad-aislamiento-coronavirus.html… #Covid_19",Crisis Guayaquil,España,1,1,1,0,0,2,0,0,0,0,2,['tristeza'],negativo,aislamiento,tristeza,0.703,tristeza
51,Revolucion Web,2020-05-09 06:10:22,Los jóvenes sienten más ansiedad y depresión por el COVID-19 que los grupos de riesgo https://noticias.revolucionweb.net/los-jovenes-sienten-mas-ansiedad-y-depresion-por-el-covid-19-que-los-grupos-de-riesgo/…,Crisis Guayaquil,Peru,2,1,2,0,0,2,0,0,0,0,3,"['miedo', 'expectante', 'tristeza']",negativo,depresión,tristeza,0.925,tristeza
56,Daniel Raul Zuin,2020-05-09 01:34:28,"#Cuarentena subiste de peso , no dormís bien , ansiedad , angustia.
Ver resultados encuesta 
COVID 19 UNIVERSIDAD SE MENDOZA.
https://facebook.com/100004482037237/posts/1507892562703464/?app=fbl…",Crisis Guayaquil,Argentina,2,1,2,2,1,3,1,1,0,1,3,['tristeza'],negativo,angustia,tristeza,0.902,tristeza
57,Aristegui Noticias,2020-05-09 01:20:03,"Por Covid-19 aumentó inseguridad alimentaria, ansiedad y depresión: Encovid-19 | #Entérate
http://ow.ly/8l6T50zB9Lr",Crisis Guayaquil,Mexico,2,1,1,0,0,2,0,0,0,0,3,"['miedo', 'tristeza']",negativo,depresión,tristeza,0.925,tristeza
58,Terrero,2020-05-09 01:13:31,Me causa ansiedad ver que estamos tan lejos de volver a la “normalidad” de dejar el Covid como un mal rato,Crisis Guayaquil,Republica Dominicana,1,1,1,0,0,1,0,0,0,1,3,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,mal,miedo,0.833,miedo
60,Gene,2020-05-09 00:57:58,"Estar encerrada me hace entrar en unas crisis de ansiedad ya quiero que llegue el momento que anuncen "" El covid fue vencido""",Crisis Guayaquil,Ecuador,1,1,1,0,0,1,0,0,0,0,2,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,crisis,miedo,0.766,miedo
62,javiera sunrise,2020-05-09 00:44:02,"Estoy chata de las noticias de gente muriendo, estoy cansada emocionalmente, no doy ma’. Está ansiedad me va a matar antes que el covid-19.",Crisis Guayaquil,Chile,1,2,1,0,0,1,0,0,0,0,2,['ira'],negativo,matar,miedo,0.962,miedo
64,Secretaría de Desarrollo Social del GEM,2020-05-09 00:23:01,"Si sientes que estás sufriendo episodios de crisis, ansiedad y violencia, @CEMyBSedomex está contigo a través de la Línea Sin Violencia 800 108 40 53. #ContingenciaSinViolencia #Covid_19mx",Crisis Guayaquil,España,2,2,1,0,0,2,0,0,0,0,3,"['miedo', 'ira', 'tristeza']",negativo,violencia,miedo,0.812,miedo
65,Diego Sebastian,2020-05-09 00:18:40,"Que vuelva el deporte, porque está ansiedad me está consumiendo y el cigarrillo en los tiempos de COVID-19 están carísimos ",Crisis Guayaquil,Argentina,1,1,1,0,0,1,0,0,0,0,2,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
68,yo soy venezolana,2020-05-08 23:39:05,"El Preso Político Antonio Garbi, recluido en Tocuyito, sufre de cuadros de ansiedad y depresión, su salud mental está en riesgo, ante el COVID-19 ¡Exigimos #MedidasHumanitariasYA ! 
@tarekwiliamsaab
 @irisvarela",Crisis Guayaquil,Colombia,2,1,2,0,0,2,0,0,0,0,3,"['miedo', 'expectante', 'tristeza']",negativo,depresión,tristeza,0.925,tristeza
77,Koala Cooper,2020-05-08 22:54:14,Regresaron a mi primo del hospital (es interno) porque estuvo en contacto con alguien que dio positivo al Covid. Su papá ha estado en contacto con mi casa. No había sentido tanta ansiedad y preocupación en mucho tiempo.,Crisis Guayaquil,Mexico,3,1,2,1,0,3,0,0,0,5,2,"['miedo', 'tristeza']",positivo,sentido,confianza,0.734,confianza
81,Augusto Manuel Lugo,2020-05-08 21:02:01,"3 de cada 10 mexicanos, con síntomas de ansiedad o depresión por COVID-19; una encuesta de la Ibero reveló que el 29% de las personas tuvo síntomas depresivos y 32.4% presentó síntomas severos de ansiedad.

visitas http://mbfarmacia.mex.tl #Xochimilco",Crisis Guayaquil,Mexico,2,2,2,1,0,3,0,0,0,0,3,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
83,Crustácea,2020-05-08 20:57:46,Si no me mata el Covid me matará mi madre de la ansiedad que me genera.,Crisis Guayaquil,Argentina,1,1,2,1,0,2,0,1,0,1,2,"['expectante', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
85,Sara Segura,2020-05-08 20:51:16,"Ahora me queda probablemente un año de Uni por que me atrasé por el estrés y la ansiedad, no tengo dinero y mis padres me condicionan todo el rato xq dependo de ellos...
Y donde sacaba mi estrés al manejar bici, ya no puedo por el covid...",Crisis Guayaquil,Mexico,1,2,2,1,1,1,0,1,1,1,3,"['ira', 'expectante']",negativo,ansiedad,miedo,0.594,miedo
87,Ale,2020-05-08 20:26:57,"Ayer me tomé un té anti-ansiedad antes de entrar a área covid, ni funcionó y a la primera hora ya quería hacer pipí, me faltaban 7 ",Crisis Guayaquil,Mexico,0,0,1,0,0,0,0,0,0,1,0,['expectante'],positivo,hora,expectante,0.516,expectante
89,MIRET EDITORIAL,2020-05-08 20:12:40,Estrés postraumático y ansiedad por el covid: síntomas y cómo combatirlos 'desde dentro' https://elconfidencial.com/alma-corazon-vida/2020-05-07/estres-postraumatico-ansiedad-coronavirus_2582528/…,Crisis Guayaquil,España,1,1,1,0,0,1,0,0,0,0,1,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
98,MIDIS PAIS,2020-05-08 18:00:14,"¿Sientes preocupación y miedo por las constantes noticias sobre el Covid-19? En este video te daremos recomendaciones para aprender a manejar esta situación y afrontar una posible crisis de ansiedad en esta cuarentena.

El #PerúEstáEnNuestrasManos
#YoMeQuedoEnCasa",Crisis Guayaquil,Peru,5,1,4,0,1,3,1,0,0,1,5,['miedo'],negativo,miedo,miedo,0.828,miedo
99,Pet's Life Community,2020-05-08 18:00:01,"Conoce a ""Harley el Tuerto"", un lomito que se ha convertido en un héroe, pues se integró al Hospital 20 de noviembre para darle apoyo emocional a todo el personal médico y a pacientes con COVID-19 con signos de ansiedad, angustia y depresión. ",Crisis Guayaquil,Peru,1,1,2,3,1,3,0,1,1,2,3,"['confianza', 'tristeza']",negativo,depresión,tristeza,0.925,tristeza
103,MIDIS Foncodes,2020-05-08 16:36:33," ¿Sientes preocupación y miedo por las constantes noticias sobre el #Covid_19?
 En este video te daremos recomendaciones para aprender a manejar esta situación y afrontar una posible crisis de ansiedad en esta cuarentena. 
El #PerúEstáEnNuestrasManos  #YoMeQuedoEnCasa",Crisis Guayaquil,Peru,5,1,4,0,1,3,1,0,0,1,5,['miedo'],negativo,miedo,miedo,0.828,miedo
106,Pedro Lechuga Mallo,2020-05-08 16:24:06,"Nos guste o no, ahora somos figurantes en una sociedad distópica. Y como creo que la ironía y el humor son una buena vacuna contra la ansiedad, mi columna en 
@LNCleon
 gira en torno a escenas graciosas provocadas por el Covid-19. ",Crisis Guayaquil,España,1,1,1,0,0,1,0,0,0,1,1,"['miedo', 'ira', 'expectante', 'tristeza']",neutro,ansiedad,expectante,0.609,expectante
107,Pamelita,2020-05-08 16:21:51,"Un consejito que no está demás en estos días...somos much@s l@s que sufrimos crisis de pánico, ansiedad, angustia, etc
#Covid_19 #COVID2019chile #COVIDー19 #Valparaíso #ViñaDelMar 
Espero les pueda ayudar  RT ",Crisis Guayaquil,Chile,2,1,1,1,0,2,0,0,0,1,4,"['miedo', 'tristeza']",negativo,angustia,tristeza,0.902,tristeza
108,Última Hora,2020-05-08 16:18:45,El doctor Carmelo González Doldán instó a las personas a realizar ejercicios para combatir el estrés y la ansiedad que causa el distanciamiento social por la pandemia del Covid-19.,Crisis Guayaquil,Paraguay,2,1,1,1,0,2,0,1,0,2,3,"['miedo', 'tristeza']",negativo,pandemia,tristeza,0.75,tristeza
111,Efecto Cocuyo,2020-05-08 16:02:26,"#Claves Los medios de comunicación tienen el poder de reducir los rumores y la ansiedad en las audiencias, pero también pueden contribuir a un cambio de comportamientos que ayude a frenar la propagación de COVID-19.  #PrevenirCOVID19",Crisis Guayaquil,Venezuela,2,1,2,1,0,1,0,0,0,1,3,"['miedo', 'expectante']",negativo,ansiedad,miedo,0.594,miedo
112,Grupo Universal,2020-05-08 14:21:24,"El aislamiento causado por el brote del coronavirus COVID-19 resulta estresante para muchas personas, lo que puede ocasionar temor y ansiedad con respecto a la enfermedad y en algunos casos pueden desencadenar ataques de pánico. #Universal #ViveSeguro #QuédateEnCasa",Crisis Guayaquil,Republica Dominicana,3,1,1,0,0,3,1,0,0,0,4,"['miedo', 'tristeza']",negativo,enfermedad,tristeza,0.828,tristeza
116,Sergio y Lupita en el Heraldo Radio,2020-05-08 13:11:54,"#AlAire | Maria Ayala, coordinadora de investigación de 
@FrenteaPobreza
, nos dice que a causa de la crisis por la pandemia de covid-19, uno de cada 3 hogares mexicanos sufren pérdida de empleo y ansiedad.",Crisis Guayaquil,Mexico,3,2,2,0,0,3,0,0,0,0,4,"['miedo', 'tristeza']",negativo,crisis,miedo,0.766,miedo
119,CaroPhoebe Hernández,2020-05-08 12:24:39,"Qué historia tan hermosa desde México.""Harley El Tuerto, un perrito Pug de 3 años, ha llegado al Centro Médico Nacional 20 de Noviembre para apoyar a médicos que llevan al menos 50 días atendiendo a pacientes con COVID-19 y comienzan a presentar síntomas de ansiedad y depresión.""",Crisis Guayaquil,Colombia,1,1,2,1,0,2,0,1,0,2,2,"['expectante', 'tristeza']",neutro,depresión,tristeza,0.925,tristeza
120,ALV Gabo! ,2020-05-08 12:16:57,"Integran a perrito pug al Centro Médico Nacional 20 de Noviembre del ISSSTE CdMx para apoyar a médicos y enfermeras, que llevan más de 50 días atendiendo a pacientes con COVID-19 y comienzan a presentar síntomas de ansiedad, angustia y depresión. ",Crisis Guayaquil,Mexico,1,1,2,1,0,3,0,0,0,1,3,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
122,Canal4RD,2020-05-08 12:03:02,"#OjaláMatutino: El doctor  Zoilo Emilio García Batista explicó que la situación de pandemia del #Covid_19 genera ansiedad, estrés, tristeza e ira. #Canal4RD #RTVD",Crisis Guayaquil,Republica Dominicana,4,2,2,2,0,4,1,0,0,1,6,"['miedo', 'tristeza']",negativo,ira,ira,0.885,ira
123,Informe Familia - Cátedra Amoris Laetitia,2020-05-08 10:12:01,"Los jóvenes sienten más ansiedad y depresión por el COVID-19 que los grupos de riesgo, según un estudio
@europapress
 @EP_Social
 
https://buff.ly/2zmkka2",Crisis Guayaquil,España,2,1,2,0,0,2,0,0,0,0,3,"['miedo', 'expectante', 'tristeza']",negativo,depresión,tristeza,0.925,tristeza
126,scorpiO,2020-05-08 09:15:00,"La verdad amixes, estaba evitando saber acerca de cómo vamos con el COVID-19 en México porque sabía que me iba a entrar una ansiedad muy grande y pues un amigo, gracias crack, me dijo cuántas muertes y casos habían y ahora estoy aquí a las 4 am pensando en que nunca saldré again",Crisis Guayaquil,Mexico,1,1,1,2,0,2,0,1,1,3,2,"['confianza', 'tristeza']",positivo,verdad,confianza,0.844,confianza
128,Ayuda Psicológica,2020-05-08 08:30:19,"RT 
@f_villadangos
: Muchas personas están sufriendo de #estrés y #ansiedad por el confinamiento #Covid. La ayuda psicológica puede ayudarte a mantener el control y sentirte mejor. #TerapiaOnline Y si está afectando tu #Sexualidad o tu #RelaciónDePareja pu… https://buff.ly/2yB5xZg",Crisis Guayaquil,Mexico,2,2,1,0,0,2,0,0,0,1,3,"['miedo', 'ira', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
130,Enrique Coperías,2020-05-08 07:29:53,"Los niños confinados en sus hogares durante el brote de la COVID-19 presentan síntomas de ansiedad y depresión por encima de lo normal, según un estudio con niños chinos en 'JAMA Pediatrics'. http://ow.ly/rZL250zAu1m",Crisis Guayaquil,España,1,1,1,0,0,2,0,0,0,0,2,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
132,Angélica Rodríguez,2020-05-08 06:43:29,"Un tercio de la población presenta problemas de ansiedad o de sueño, según un estudio de la #UNED http://infocop.es/view_article.asp?id=8762&cat=47… #psicologia #Covid_19",Crisis Guayaquil,España,1,1,1,0,0,1,0,0,0,1,1,"['miedo', 'ira', 'expectante', 'tristeza']",neutro,ansiedad,expectante,0.609,expectante
133,Consejo General de la Psicología de España (COP),2020-05-08 06:38:38,"Un tercio de la población presenta problemas de ansiedad o de sueño, según un estudio de la UNED http://infocop.es/view_article.asp?id=8762&cat=47… #Covid_19 #Psicologia",Crisis Guayaquil,España,1,1,1,0,0,1,0,0,0,1,1,"['miedo', 'ira', 'expectante', 'tristeza']",neutro,ansiedad,expectante,0.609,expectante
138,ⓓⓐⓡⓔ,2020-05-08 04:53:39,La ansiedad y el Covid-19 conviviendo juntos en casa,Crisis Guayaquil,Colombia,1,1,1,0,0,1,0,0,0,1,1,"['miedo', 'ira', 'expectante', 'tristeza']",neutro,ansiedad,expectante,0.609,expectante
146,Ricardo,2020-05-08 03:38:04,"En estos tiempos es feo tener un ataque de ansiedad, sentís que COVID te está dando",Crisis Guayaquil,El Salvador,2,2,1,0,0,1,1,0,0,1,3,"['miedo', 'ira']",negativo,ataque,ira,0.853,ira
149,Rodrigo Fuentes,2020-05-08 03:22:57,"Un día con ansiedad y teletrabajo, ¿no les ha pasado? #Covid_19  #cuarentena #CuarentenaTotal",Crisis Guayaquil,Chile,2,1,1,0,0,2,0,0,0,0,2,"['miedo', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
150,Mestizo,2020-05-08 03:15:00,"#País | 3 de cada 10 mexicanos, con síntomas de ansiedad o depresión por COVID. Mira la nota completa aquí  https://bit.ly/2WaWYgF ",Crisis Guayaquil,Mexico,1,1,1,0,0,2,0,0,1,1,2,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
153,Karla Rivera,2020-05-08 01:11:01,"De acuerdo a la encuesta realizada por el Equide:

1 de cada 3 hogares perdió más del 50% de su ingreso por el Covid-19

Hay entre 5 y 8 millones de mexicanos desempleados, desocupados o ""descansados"" por la pandemia

Y 32% de la población presenta síntomas severos de ansiedad",Crisis Guayaquil,Mexico,3,1,2,2,1,4,0,1,0,2,4,['tristeza'],negativo,pandemia,tristeza,0.75,tristeza
154,elsalvador.com,2020-05-08 01:00:00,"[GALERÍA] Este peludito apoya a médicos y enfermeras que atienden pacientes con COVID-19 que presentan síntomas de ansiedad, angustia y depresión debido a la pandemia.",Crisis Guayaquil,El Salvador,3,2,2,1,0,5,1,0,0,0,5,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
157,Julieta Sagnay Dra,2020-05-08 00:43:41,"Personal de salud en Ecuador estaría al borde de sufrir ataques de pánico, ansiedad y depresión por COVID-19",Crisis Guayaquil,Ecuador,3,1,2,0,0,2,0,0,0,0,5,['miedo'],negativo,depresión,tristeza,0.925,tristeza
159,Esta Noche Mariasela,2020-05-08 00:31:00,"""Después del COVID-19, habrá una pandemia de salud mental, porque habrá un cambio social. No todo el mundo tiene la inteligencia emocional para manejar el cambio.

A los niños, por ejemplo, también les da ansiedad, porque este ha sido un cambio abrupto"",Cándido Mercedes.",Crisis Guayaquil,Republica Dominicana,6,1,1,1,1,2,0,1,1,1,2,['miedo'],negativo,pandemia,tristeza,0.75,tristeza
160,AMIIF México,2020-05-08 00:29:00,"Una rutina diaria bien establecida durante el confinamiento obligado por la pandemia de COVID-19 podría evitar la ansiedad, el insomnio y el miedo, aseguró una investigadora de la Universidad Autónoma Metropolitana (UAM).

https://bit.ly/2Aa1gwj",Crisis Guayaquil,Mexico,5,2,3,1,1,3,0,0,0,2,4,['miedo'],negativo,miedo,miedo,0.828,miedo
162,enlagrilla.com,2020-05-07 23:54:17,Crisis por COVID-19 puede generar ansiedad y depresión http://enlagrilla.com/not_detalle.php?id_n=114051…,Crisis Guayaquil,Mexico,1,1,1,0,0,2,0,0,0,0,2,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
163,Dra Erin Prilick,2020-05-07 22:31:05,"Comparto ejercicio de respiración para momentos de ansiedad
#ansiedad #respiracion #saludmental #Covid_19 #coronavirus #7Mayo #TipsdeSalud",Crisis Guayaquil,Argentina,2,2,2,0,0,2,0,0,0,0,2,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
164,Update Mexico,2020-05-07 22:24:34,"¿Estrés, ansiedad, depresión? La salud mental es de gran importancia durante la pandemia de Covid-19, comenta en entrevista el Dr. Luis Meixueiro. 

https://youtu.be/MMNiXiYbaAw",Crisis Guayaquil,Argentina,2,1,2,0,0,3,0,0,0,1,3,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
165,Amb Antonio Garza,2020-05-07 22:12:43,"3 de cada 10 mexicanos, con síntomas de ansiedad o depresión por COVID",Crisis Guayaquil,Mexico,1,1,1,0,0,2,0,0,0,0,2,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
167,Nan Eli,2020-05-07 22:01:09,"Es increíble ayudar a los demás en situación de miedo y ansiedad generados por el Covid, soy la única psicóloga en Pacific y mi jefa ha confiado mucho en mi para intervenir a la gente con crisis",Crisis Guayaquil,Mexico,3,1,3,1,1,2,1,0,0,1,5,"['miedo', 'expectante']",negativo,miedo,miedo,0.828,miedo
172,Plattafforma,2020-05-07 20:30:00,"Aumentan casos de ansiedad y estrés por COVID-19: Patricia Meraz- Directora de Salud Mental 
https://bit.ly/35DhPMT
#Plattafforma #Noticias #Durango",Crisis Guayaquil,Mexico,1,1,1,0,0,1,0,0,0,0,2,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
176,Mibrokenpierna,2020-05-07 20:05:00,"@IdiazAyuso
 .... Y 2) soy un candidato idóneo para no contraer el covid -varón, 55 años, obeso, hipertenso, con problemas de corazón-. No tengo síntomas, sí ansiedad y miedo de contraerlo y salir. Como yo habrá muchos. No sería útil hacernos el test como grupo de riesgo?.Gracias",Crisis Guayaquil,España,4,1,3,0,2,2,1,0,0,2,5,['miedo'],negativo,miedo,miedo,0.828,miedo
177,𝑫𝒓𝒂. 𝑷𝒊𝒆𝒍𝒐𝒏𝒆𝒇𝒓𝒊𝒕𝒊𝒄𝒂,2020-05-07 19:52:46,"Antier tuve mi primer ataque de ansiedad, jamás había tenido uno, fue después de que uno de mis paciente me dijera ahogándose q lo ayudara xq era muy joven para irse (32), comencé a sentir calor y una angustia espantosa, queria arrancarme el EPP... pero esto no existe.
#Covid_19",Crisis Guayaquil,Mexico,2,2,3,0,1,3,0,1,0,2,4,"['expectante', 'tristeza']",negativo,angustia,tristeza,0.902,tristeza
180,Convivencia Escolar,2020-05-07 19:37:23,"#07Mayo Durante la pandemia del COVID-19 quizás sientas estrés, ansiedad, miedo, tristeza, y soledad. Es posible que empeoren los trastornos de salud mental, incluyendo la ansiedad y la depresión. AQUÍ  te brindamos algunos TIPS para mantener tu salud mental en este tiempo.",Crisis Guayaquil,Venezuela,5,2,3,1,1,6,0,0,0,0,8,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
182,Clínica Veterinaria San José,2020-05-07 18:38:39,"Harley El Tuerto, un perrito Pug de tres años, para apoyar a médicos y enfermeras,  que llevan  al menos 50 días en la primera línea de fuego, atendiendo a pacientes con COVID-19 y comienzan a presentar síntomas de ansiedad, angustia y depresión.",Crisis Guayaquil,Mexico,2,1,2,1,0,3,0,0,0,1,3,['tristeza'],negativo,depresión,tristeza,0.925,tristeza
188,JOS,2020-05-07 17:50:32,"Hoy me hicieron la prueba de covid, la cual salió negativa, por suerte. No me mata el coronavirus, pero sí la ansiedad. Qué momentos tan fuertes nos tocó vivir.",Crisis Guayaquil,Peru,1,1,1,1,1,1,0,1,0,2,2,"['miedo', 'ira', 'expectante', 'confianza', 'sorpresa', 'tristeza', 'alegria']",neutro,suerte,alegria,0.721,alegria
189,Don Omar,2020-05-07 17:27:56,"Llevo 12 días sin fumar. El mismo número de días desde que entré a área COVID por primera vez. A veces siento un poco de ansiedad y me dan ganas de prender uno, luego me acuerdo que en un par de días volveré a entrar a área COVID y se me pasa ",Crisis Guayaquil,Mexico,1,1,2,1,1,1,0,1,0,1,1,['expectante'],neutro,acuerdo,confianza,0.727,confianza
